en,dw,occ
-32.12515381748144,0.06272187690804248,1.5952403201289164e-49
-24.40844013731862,4.185885206457323,-1.1803702366607205e-46
-24.335662212143628,4.1564992355003385,-3.375305188325322e-42
-24.327954486819955,4.1518344821067075,-4.2208675712789386e-48
-24.29414184903777,4.137182474202235,2.324707518296715e-47
-24.269224677611234,4.1269819056546275,5.953441691759798e-47
-24.238529625998773,4.113928809487524,6.150386156129546e-41
-24.224796420825815,4.107281647055423,-1.3157861105270297e-49
-24.203295832445583,4.097456423022955,9.542513958583287e-46
-24.20007792831897,4.096613201194647,3.7690716458289893e-41
-24.1458718838048,4.071173447764503,-1.551054372262294e-47
-24.13882086871697,4.066453688696828,-6.503600917579407e-41
-20.406103692801178,6.1834047428584125,-1.508564196363938e-40
-20.315695227626534,6.145389316380023,1.4663740328216898e-20
-20.2893184972575,6.133292601583461,7.2779526258572485e-37
-20.24099141139446,6.112040994558475,-4.987226537460369e-19
-20.232167075357605,6.108159053369091,7.359445990758494e-35
-20.189512383107346,6.089767540196405,-1.6147359916215288e-33
-20.183304352754025,6.0875223897348665,3.3221385714828535e-19
-20.158151922985606,6.080909701485186,-1.747941119234064e-19
-20.15641844835996,6.078189643896347,2.7397427757318213e-32
-20.12896044346225,6.067763848125503,1.8281475623650515e-19
-20.12844946499349,6.066987084441536,3.7367078960950794e-32
-20.080390996638496,6.043171153080583,1.8810209808826108e-19
-20.06493677341187,6.036013092048741,1.2667237435996096e-30
-20.06351511104152,6.032811567666165,-6.755472814472168e-26
-20.06306389489717,6.036891606771736,1.0003845215043341e-29
-20.051788259546203,6.026930510306182,-5.500086057845843e-31
-20.047765185073764,6.030172638213708,3.105381484384664e-32
-20.034847628144703,6.01933056519184,1.4034852624221405e-33
-20.000000000000004,6.000000000000005,1.7660287659974354e-18
-17.30721223953525,8.039624850228682,-1.7871931137249795e-18
-17.289496845058054,8.027771358325952,2.5221212573505434e-18
-17.231412843250194,8.03505142209527,8.719101240415631e-19
-17.206239359666707,8.02653876050141,1.2081968172401284e-18
-17.204667617221734,7.991409550127411,-6.198761356712302e-24
-17.193363586753275,8.025048577162451,9.736559284190045e-19
-17.145767936435934,8.01600398653184,-6.639714316065605e-19
-17.10661689126442,8.004395703017725,-3.1856041741224594e-19
-17.09000410258948,8.007577863468969,-2.5712885767243475e-19
-17.07921420366627,7.999034663785779,1.0505289675643905e-19
-17.052211472343917,7.980070290850812,-5.124181062659587e-19
-17.010568301367094,8.0022966550901,5.898097969876106e-18
-17.004961442555523,7.9618803315441795,1.1121342664447977e-18
-16.999014473759058,7.990624509209468,1.6134598982358368e-18
-16.974251815757693,7.9893765458811075,1.5110553193801626e-18
-16.954335656000918,8.038676282393768,2.357434327751597e-18
-16.93974654938183,8.016899731205752,-3.018894632903509e-18
-16.927124045644316,8.025521869609332,-1.9758792700022186e-18
-16.918822890652503,7.998103966817063,5.721398885481494e-19
-16.91699150712233,8.019721157995146,-1.8619293854604945e-18
-16.915627352675507,7.99754265586482,-4.766578354910122e-18
-16.911674155092182,8.017387464704115,-3.2417243893737422e-18
-16.890950568959454,8.011849278014683,2.374535080656966e-20
-16.86617225386497,8.028002456617205,-6.113956680451824e-19
-16.862360454070533,8.024282395086141,7.539343549790223e-19
-16.858568238693746,7.993215817149501,2.6505540770941896e-18
